Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,java:S6035:  "Replace this alternation with a character class.",MAJOR,5min,Key: AXaPGVxT8LKHpH7XnEOZ Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-core/src/main/java/org/sejda/core/support/prefix/processor/PrefixUtils.java - startLine: 34;startOffset: 53;endOffset: 60;endLine: 34,Maintenance (Code Smells)
To-Do,New,Normal,java:S1612:  "Replace this lambda with method reference 'PdfMergeInput.class::cast'.",MINOR,2min,Key: AXaPGVsD8LKHpH7XnENL Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-model/src/main/java/org/sejda/model/parameter/BaseMergeParameters.java - startLine: 72;startOffset: 63;endOffset: 65;endLine: 72,Maintenance (Code Smells)
To-Do,New,Normal,java:S125:  "This block of commented-out lines of code should be removed.",MAJOR,5min,Key: AXaPGVzu8LKHpH7XnEPz Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/PdfScaler.java - startLine: 157;startOffset: 11;endOffset: 84;endLine: 157,Maintenance (Code Smells)
To-Do,New,Normal,java:S1118:  "Add a private constructor to hide the implicit public one.",MAJOR,5min,Key: AXaPGVuj8LKHpH7XnENv Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-model/src/main/java/org/sejda/core/encryption/EncryptionHelpers.java - startLine: 11;startOffset: 13;endOffset: 30;endLine: 11,Maintenance (Code Smells)
To-Do,New,Normal,java:S112:  "Define and throw a dedicated exception instead of using a generic one.",MAJOR,20min,Key: AXaPGVuj8LKHpH7XnENu Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-model/src/main/java/org/sejda/core/encryption/EncryptionHelpers.java - startLine: 28;startOffset: 22;endOffset: 38;endLine: 28,Maintenance (Code Smells)
To-Do,New,Normal,java:S5993:  "Change the visibility of this constructor to protected.",MAJOR,2min,Key: AXaPGVqx8LKHpH7XnEMo Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-model/src/main/java/org/sejda/model/input/AbstractPdfSource.java - startLine: 49;startOffset: 4;endOffset: 10;endLine: 49,Maintenance (Code Smells)
To-Do,New,Normal,java:S5993:  "Change the visibility of this constructor to protected.",MAJOR,2min,Key: AXaPGVqx8LKHpH7XnEMp Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-model/src/main/java/org/sejda/model/input/AbstractPdfSource.java - startLine: 64;startOffset: 4;endOffset: 10;endLine: 64,Maintenance (Code Smells)
To-Do,New,Normal,java:S5993:  "Change the visibility of this constructor to protected.",MAJOR,2min,Key: AXaPGVq78LKHpH7XnEMt Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-model/src/main/java/org/sejda/model/input/AbstractSource.java - startLine: 44;startOffset: 4;endOffset: 10;endLine: 44,Maintenance (Code Smells)
To-Do,New,Normal,common-java:DuplicatedBlocks:  "1 duplicated blocks of code must be removed.",MAJOR,20min,Key: AXaPGVuD8LKHpH7XnENq Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-model/src/main/java/org/sejda/model/output/FileOrDirectoryTaskOutput.java,Maintenance (Code Smells)
To-Do,New,Normal,common-java:DuplicatedBlocks:  "1 duplicated blocks of code must be removed.",MAJOR,20min,Key: AXaPGVuG8LKHpH7XnENr Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-model/src/main/java/org/sejda/model/output/FileTaskOutput.java,Maintenance (Code Smells)
To-Do,New,Normal,common-java:DuplicatedBlocks:  "1 duplicated blocks of code must be removed.",MAJOR,20min,Key: AXaPGV0O8LKHpH7XnEQn Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/SetPagesLabelTask.java,Maintenance (Code Smells)
To-Do,New,Normal,common-java:DuplicatedBlocks:  "1 duplicated blocks of code must be removed.",MAJOR,20min,Key: AXaPGV0n8LKHpH7XnEQ4 Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/SetPagesTransitionTask.java,Maintenance (Code Smells)
To-Do,New,Normal,java:S3415:  "Swap these 2 arguments so they are in the correct order: expected value actual value.",MAJOR,2min,Key: AXaPGV1q8LKHpH7XnERZ Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/test/java/org/sejda/impl/sambox/EncryptionAtRestSourceTest.java - startLine: 28;startOffset: 45;endOffset: 47;endLine: 28,Maintenance (Code Smells)
To-Do,New,Normal,java:S3415:  "Swap these 2 arguments so they are in the correct order: expected value actual value.",MAJOR,2min,Key: AXaPGV1q8LKHpH7XnERa Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/test/java/org/sejda/impl/sambox/EncryptionAtRestSourceTest.java - startLine: 35;startOffset: 45;endOffset: 47;endLine: 35,Maintenance (Code Smells)
To-Do,New,Normal,java:S3415:  "Swap these 2 arguments so they are in the correct order: expected value actual value.",MAJOR,2min,Key: AXaPGV1q8LKHpH7XnERb Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/test/java/org/sejda/impl/sambox/EncryptionAtRestSourceTest.java - startLine: 43;startOffset: 39;endOffset: 43;endLine: 43,Maintenance (Code Smells)
To-Do,New,Normal,java:S3415:  "Swap these 2 arguments so they are in the correct order: expected value actual value.",MAJOR,2min,Key: AXaPGV1q8LKHpH7XnERc Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/test/java/org/sejda/impl/sambox/EncryptionAtRestSourceTest.java - startLine: 51;startOffset: 39;endOffset: 43;endLine: 51,Maintenance (Code Smells)
To-Do,New,Normal,common-java:DuplicatedBlocks:  "1 duplicated blocks of code must be removed.",MAJOR,20min,Key: AXaPGVsY8LKHpH7XnENV Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-model/src/main/java/org/sejda/model/parameter/ExtractPagesParameters.java,Maintenance (Code Smells)
To-Do,New,Normal,common-java:DuplicatedBlocks:  "1 duplicated blocks of code must be removed.",MAJOR,20min,Key: AXaPGVrC8LKHpH7XnEMu Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-model/src/main/java/org/sejda/model/parameter/image/AbstractPdfToMultipleImageParameters.java,Maintenance (Code Smells)
To-Do,New,Normal,java:S5976:  "Replace these 3 tests with a single Parameterized one.",MAJOR,10min,Key: AXaPGVxC8LKHpH7XnEOV Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-core/src/test/java/org/sejda/core/context/XmlConfigurationStrategyTest.java - startLine: 73;startOffset: 16;endOffset: 47;endLine: 73,Maintenance (Code Smells)
To-Do,New,Normal,java:S1134:  "Take the required action to fix the issue indicated by this comment.",MAJOR,,Key: AXaPGVzg8LKHpH7XnEPj Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/FilenameFooterWriter.java - startLine: 84;startOffset: 0;endOffset: 150;endLine: 84,Maintenance (Code Smells)
To-Do,New,Normal,java:S1135:  "Complete the task associated to this TODO comment.",INFO,,Key: AXaPGVzg8LKHpH7XnEPk Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/FilenameFooterWriter.java - startLine: 84;startOffset: 0;endOffset: 150;endLine: 84,Maintenance (Code Smells)
To-Do,New,Normal,java:S2386:  "Make member TYPE0FONTS protected.",MINOR,15min,Key: AXaPGV0B8LKHpH7XnEQK Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/util/FontUtils.java - startLine: 99;startOffset: 8;endOffset: 18;endLine: 99,Maintenance (Code Smells)
To-Do,New,Normal,java:S1117:  "Rename pageSelection which hides the field declared at line 59.",MAJOR,5min,Key: AXaPGVr_8LKHpH7XnENI Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-model/src/main/java/org/sejda/model/parameter/RotateParameters.java - startLine: 95;startOffset: 33;endOffset: 46;endLine: 95,Maintenance (Code Smells)
To-Do,New,Normal,java:S2864:  "Iterate over the entrySet instead of the keySet.",MAJOR,5min,Key: AXaPGVr_8LKHpH7XnENJ Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-model/src/main/java/org/sejda/model/parameter/RotateParameters.java - startLine: 97;startOffset: 12;endOffset: 15;endLine: 97,Maintenance (Code Smells)
To-Do,New,Normal,java:S3824:  "Replace this Map.containsKey() with a call to Map.computeIfAbsent().",MAJOR,10min,Key: AXaPGVr_8LKHpH7XnENF Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-model/src/main/java/org/sejda/model/parameter/RotateParameters.java - startLine: 121;startOffset: 12;endOffset: 59;endLine: 121,Maintenance (Code Smells)
To-Do,New,Normal,java:S1117:  "Rename pageSelection which hides the field declared at line 59.",MAJOR,5min,Key: AXaPGVr_8LKHpH7XnENK Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-model/src/main/java/org/sejda/model/parameter/RotateParameters.java - startLine: 125;startOffset: 33;endOffset: 46;endLine: 125,Maintenance (Code Smells)
To-Do,New,Normal,java:S3415:  "Swap these 2 arguments so they are in the correct order: expected value actual value.",MAJOR,2min,Key: AXaPGV1n8LKHpH7XnERP Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/test/java/org/sejda/impl/sambox/MergeSamboxTaskTest.java - startLine: 799;startOffset: 53;endOffset: 54;endLine: 799,Maintenance (Code Smells)
To-Do,New,Normal,java:S3415:  "Swap these 2 arguments so they are in the correct order: expected value actual value.",MAJOR,2min,Key: AXaPGV1n8LKHpH7XnERQ Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/test/java/org/sejda/impl/sambox/MergeSamboxTaskTest.java - startLine: 800;startOffset: 53;endOffset: 54;endLine: 800,Maintenance (Code Smells)
To-Do,New,Normal,java:S3415:  "Swap these 2 arguments so they are in the correct order: expected value actual value.",MAJOR,2min,Key: AXaPGV1n8LKHpH7XnERR Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/test/java/org/sejda/impl/sambox/MergeSamboxTaskTest.java - startLine: 801;startOffset: 53;endOffset: 54;endLine: 801,Maintenance (Code Smells)
