Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AXaPGVpL8LKHpH7XnEMV Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-conversion/src/test/java/org/sejda/conversion/OptimizationPolicyAdapterTest.java - startLine: 30;startOffset: 16;endOffset: 25;endLine: 30,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AXaPGVo-8LKHpH7XnEMU Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-conversion/src/test/java/org/sejda/conversion/ToCPolicyAdapterTest.java - startLine: 30;startOffset: 16;endOffset: 25;endLine: 30,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AXaPGV1Q8LKHpH7XnERM Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/test/java/org/sejda/impl/sambox/component/SignatureClipperTest.java - startLine: 57;startOffset: 16;endOffset: 40;endLine: 57,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AXaPGV1I8LKHpH7XnERB Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/test/java/org/sejda/impl/sambox/component/PDDocumentAccessPermissionTest.java - startLine: 62;startOffset: 16;endOffset: 25;endLine: 62,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AXaPGV1I8LKHpH7XnERC Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/test/java/org/sejda/impl/sambox/component/PDDocumentAccessPermissionTest.java - startLine: 68;startOffset: 16;endOffset: 34;endLine: 68,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AXaPGV1I8LKHpH7XnERD Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/test/java/org/sejda/impl/sambox/component/PDDocumentAccessPermissionTest.java - startLine: 82;startOffset: 16;endOffset: 25;endLine: 82,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AXaPGV1I8LKHpH7XnERE Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/test/java/org/sejda/impl/sambox/component/PDDocumentAccessPermissionTest.java - startLine: 88;startOffset: 16;endOffset: 34;endLine: 88,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AXaPGV1I8LKHpH7XnERF Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/test/java/org/sejda/impl/sambox/component/PDDocumentAccessPermissionTest.java - startLine: 102;startOffset: 16;endOffset: 33;endLine: 102,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AXaPGV1I8LKHpH7XnERG Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/test/java/org/sejda/impl/sambox/component/PDDocumentAccessPermissionTest.java - startLine: 114;startOffset: 16;endOffset: 28;endLine: 114,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2699:  ""Add at least one assertion to this test case.""",BLOCKER,10min,Key: AXaPGV1I8LKHpH7XnERH Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/test/java/org/sejda/impl/sambox/component/PDDocumentAccessPermissionTest.java - startLine: 126;startOffset: 16;endOffset: 30;endLine: 126,Maintenance (Code Smells)
