Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S1068:  ""Remove this unused LOG private field.""",MAJOR,5min,Key: AXbcm1hPQMM9LkOlHv71 Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-conversion/src/main/java/org/sejda/conversion/PdfFileSourceListAdapter.java - startLine: 189;startOffset: 32;endOffset: 35;endLine: 189,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2629:  ""Invoke method(s) only conditionally.""",MAJOR,5min,Key: AXbYmoCxzwPtzICP-TOO Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-core/src/main/java/org/sejda/core/context/GlobalConfiguration.java - startLine: 69;startOffset: 22;endOffset: 71;endLine: 69,Maintenance (Code Smells)
To-Do,New,Normal,"java:S125:  ""This block of commented-out lines of code should be removed.""",MAJOR,5min,Key: AXbXlTP17P_lN_ZuPs2E Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/PdfScaler.java - startLine: 132;startOffset: 11;endOffset: 63;endLine: 132,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1612:  ""Replace this lambda with method reference 'PDAnnotationWidget.class::cast'.""",MINOR,2min,Key: AXaPGVy68LKHpH7XnEPH Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/AcroFormsMerger.java - startLine: 267;startOffset: 68;endOffset: 70;endLine: 267,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1612:  ""Replace this lambda with a method reference.""",MINOR,2min,Key: AXaPGVy68LKHpH7XnEPI Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/AcroFormsMerger.java - startLine: 273;startOffset: 59;endOffset: 61;endLine: 273,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1602:  ""Remove useless curly braces around statement and then remove useless return keyword""",MINOR,5min,Key: AXaPGVp_8LKHpH7XnEMg Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-conversion/src/main/java/org/sejda/conversion/PdfFileSourceListAdapter.java - startLine: 175;startOffset: 63;endOffset: 64;endLine: 175,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1612:  ""Replace this lambda with a method reference.""",MINOR,2min,Key: AXaPGVxm8LKHpH7XnEOc Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-core/src/main/java/org/sejda/core/support/prefix/NameGenerator.java - startLine: 62;startOffset: 81;endOffset: 83;endLine: 62,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1135:  ""Complete the task associated to this TODO comment.""",INFO,,Key: AXaPGVxT8LKHpH7XnEOY Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-core/src/main/java/org/sejda/core/support/prefix/processor/PrefixUtils.java - startLine: 33;startOffset: 0;endOffset: 166;endLine: 33,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1612:  ""Replace this lambda with method reference 'PdfMergeInput.class::cast'.""",MINOR,2min,Key: AXaPGVsD8LKHpH7XnENL Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-model/src/main/java/org/sejda/model/parameter/BaseMergeParameters.java - startLine: 72;startOffset: 63;endOffset: 65;endLine: 72,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1135:  ""Complete the task associated to this TODO comment.""",INFO,,Key: AXaPGVzg8LKHpH7XnEPk Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/FilenameFooterWriter.java - startLine: 84;startOffset: 0;endOffset: 150;endLine: 84,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2386:  ""Make member TYPE0FONTS protected.""",MINOR,15min,Key: AXaPGV0B8LKHpH7XnEQK Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/util/FontUtils.java - startLine: 99;startOffset: 8;endOffset: 18;endLine: 99,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1450:  ""Remove the catalogPageLabelsMerger field and declare it as a local variable in the relevant methods.""",MINOR,5min,Key: AXaPGV0h8LKHpH7XnEQx Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/MergeTask.java - startLine: 80;startOffset: 36;endOffset: 59;endLine: 80,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1135:  ""Complete the task associated to this TODO comment.""",INFO,,Key: AXaPGVz-8LKHpH7XnEQC Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/util/PageLabelUtils.java - startLine: 88;startOffset: 0;endOffset: 58;endLine: 88,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1155:  ""Use isEmpty() to check whether the collection is empty or not.""",MINOR,2min,Key: AXaPGVy68LKHpH7XnEPG Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/AcroFormsMerger.java - startLine: 329;startOffset: 27;endOffset: 40;endLine: 329,Maintenance (Code Smells)
