Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S1612:  ""Replace this lambda with a method reference.""",MINOR,2min,Key: AXaPGVzQ8LKHpH7XnEPT Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/ContentStreamProcessor.java - startLine: 53;startOffset: 32;endOffset: 34;endLine: 53,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1135:  ""Complete the task associated to this TODO comment.""",INFO,,Key: AXaPGVzQ8LKHpH7XnEPU Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/ContentStreamProcessor.java - startLine: 60;startOffset: 0;endOffset: 71;endLine: 60,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1155:  ""Use isEmpty() to check whether the collection is empty or not.""",MINOR,2min,Key: AXaPGVzp8LKHpH7XnEPt Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/excel/DataTable.java - startLine: 120;startOffset: 15;endOffset: 35;endLine: 120,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1488:  ""Immediately return this expression instead of assigning it to the temporary variable factor.""",MINOR,2min,Key: AXaPGVzu8LKHpH7XnEPv Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/PdfScaler.java - startLine: 333;startOffset: 23;endOffset: 58;endLine: 333,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3008:  ""Rename this field FONT to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,2min,Key: AXaPGVzg8LKHpH7XnEPh Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/FilenameFooterWriter.java - startLine: 49;startOffset: 26;endOffset: 30;endLine: 49,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3008:  ""Rename this field FONT_SIZE to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,2min,Key: AXaPGVzg8LKHpH7XnEPi Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/FilenameFooterWriter.java - startLine: 50;startOffset: 26;endOffset: 35;endLine: 50,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1135:  ""Complete the task associated to this TODO comment.""",INFO,,Key: AXaPGVy38LKHpH7XnEPE Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/TableOfContentsCreator.java - startLine: 209;startOffset: 0;endOffset: 94;endLine: 209,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1135:  ""Complete the task associated to this TODO comment.""",INFO,,Key: AXaPGV0B8LKHpH7XnEQT Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/util/FontUtils.java - startLine: 509;startOffset: 0;endOffset: 64;endLine: 509,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1602:  ""Remove useless curly braces around statement""",MINOR,5min,Key: AXaPGVzu8LKHpH7XnEP0 Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/PdfScaler.java - startLine: 181;startOffset: 91;endOffset: 92;endLine: 181,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1602:  ""Remove useless curly braces around statement""",MINOR,5min,Key: AXaPGVzu8LKHpH7XnEP1 Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/PdfScaler.java - startLine: 187;startOffset: 103;endOffset: 104;endLine: 187,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1602:  ""Remove useless curly braces around statement""",MINOR,5min,Key: AXaPGVzu8LKHpH7XnEP2 Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/PdfScaler.java - startLine: 194;startOffset: 64;endOffset: 65;endLine: 194,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1602:  ""Remove useless curly braces around statement""",MINOR,5min,Key: AXaPGVzu8LKHpH7XnEP3 Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/PdfScaler.java - startLine: 200;startOffset: 95;endOffset: 96;endLine: 200,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1612:  ""Replace this lambda with a method reference.""",MINOR,2min,Key: AXaPGVz18LKHpH7XnEP6 Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/ReadOnlyFilteredCOSStream.java - startLine: 179;startOffset: 58;endOffset: 60;endLine: 179,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1612:  ""Replace this lambda with a method reference.""",MINOR,2min,Key: AXaPGVyw8LKHpH7XnEO- Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/optimization/ResourceDictionaryCleaner.java - startLine: 87;startOffset: 89;endOffset: 91;endLine: 87,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2200:  ""Only the sign of the result should be examined.""",MINOR,5min,Key: AXaPGVtF8LKHpH7XnENh Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-model/src/main/java/org/sejda/model/validation/validator/NotNegativeNumberValidator.java - startLine: 45;startOffset: 67;endOffset: 69;endLine: 45,Reliability (Bugs)
To-Do,New,Normal,"java:S2200:  ""Only the sign of the result should be examined.""",MINOR,5min,Key: AXaPGVtF8LKHpH7XnENi Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-model/src/main/java/org/sejda/model/validation/validator/NotNegativeNumberValidator.java - startLine: 48;startOffset: 67;endOffset: 69;endLine: 48,Reliability (Bugs)
To-Do,New,Normal,"java:S1165:  ""Make this unsupportedChars field final.""",MINOR,15min,Key: AXaPGVqa8LKHpH7XnEMm Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-model/src/main/java/org/sejda/model/exception/UnsupportedTextException.java - startLine: 24;startOffset: 19;endOffset: 35;endLine: 24,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1444:  ""Make this public static HELVETICA field final""",MINOR,20min,Key: AXaPGV0B8LKHpH7XnEQF Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/util/FontUtils.java - startLine: 94;startOffset: 25;endOffset: 34;endLine: 94,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1104:  ""Make HELVETICA a static final constant or non-public and provide accessors if needed.""",MINOR,10min,Key: AXaPGV0B8LKHpH7XnEQI Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/util/FontUtils.java - startLine: 94;startOffset: 25;endOffset: 34;endLine: 94,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3008:  ""Rename this field HELVETICA to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,2min,Key: AXaPGV0B8LKHpH7XnEQJ Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/util/FontUtils.java - startLine: 94;startOffset: 25;endOffset: 34;endLine: 94,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1206:  ""This class overrides equals() and should therefore also override hashCode().""",MINOR,15min,Key: AXaPGVrQ8LKHpH7XnEM3 Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-model/src/main/java/org/sejda/model/parameter/image/PdfToPngParameters.java - startLine: 43;startOffset: 19;endOffset: 25;endLine: 43,Reliability (Bugs)
To-Do,New,Normal,"java:S1640:  ""Convert this Map to an EnumMap.""",MINOR,5min,Key: AXaPGV178LKHpH7XnERe Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-image-writers/src/main/java/org/sejda/core/writer/imageio/AbstractImageWriter.java - startLine: 57;startOffset: 65;endOffset: 107;endLine: 57,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2293:  ""Replace the type specification in this constructor call with the diamond operator (<>).""",MINOR,1min,Key: AXaPGV178LKHpH7XnERf Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-image-writers/src/main/java/org/sejda/core/writer/imageio/AbstractImageWriter.java - startLine: 57;startOffset: 76;endOffset: 105;endLine: 57,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1874:  ""Remove this use of divide; it is deprecated.""",MINOR,15min,Key: AXaPGVyG8LKHpH7XnEOk Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-core/src/main/java/org/sejda/core/notification/dsl/ApplicationEventsNotifier.java - startLine: 126;startOffset: 75;endOffset: 81;endLine: 126,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1874:  ""Remove this use of ROUND_HALF_DOWN; it is deprecated.""",MINOR,15min,Key: AXaPGVyG8LKHpH7XnEOl Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-core/src/main/java/org/sejda/core/notification/dsl/ApplicationEventsNotifier.java - startLine: 126;startOffset: 100;endOffset: 115;endLine: 126,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1612:  ""Replace this lambda with a method reference.""",MINOR,2min,Key: AXaPGVpf8LKHpH7XnEMZ Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-conversion/src/main/java/org/sejda/conversion/WildcardsPdfFileSourceAdapter.java - startLine: 62;startOffset: 44;endOffset: 46;endLine: 62,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1612:  ""Replace this lambda with a method reference.""",MINOR,2min,Key: AXaPGVz78LKHpH7XnEQA Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/OutlineDistiller.java - startLine: 89;startOffset: 27;endOffset: 29;endLine: 89,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1612:  ""Replace this lambda with method reference 'PDAnnotationWidget.class::cast'.""",MINOR,2min,Key: AXaPGVy68LKHpH7XnEPJ Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/AcroFormsMerger.java - startLine: 347;startOffset: 23;endOffset: 25;endLine: 347,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1165:  ""Make this reasons field final.""",MINOR,15min,Key: AXaPGVqe8LKHpH7XnEMn Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-model/src/main/java/org/sejda/model/exception/InvalidTaskParametersException.java - startLine: 34;startOffset: 25;endOffset: 32;endLine: 34,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1319:  ""The return type of this method should be an interface such as SortedSet rather than the implementation TreeSet.""",MINOR,10min,Key: AXaPGVzp8LKHpH7XnEPs Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/excel/DataTable.java - startLine: 78;startOffset: 11;endOffset: 27;endLine: 78,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1612:  ""Replace this lambda with a method reference.""",MINOR,2min,Key: AXaPGV0h8LKHpH7XnEQ2 Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/MergeTask.java - startLine: 264;startOffset: 35;endOffset: 37;endLine: 264,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1612:  ""Replace this lambda with method reference 'COSDictionary.class::cast'.""",MINOR,2min,Key: AXaPGVzG8LKHpH7XnEPO Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/split/PageCopier.java - startLine: 70;startOffset: 27;endOffset: 29;endLine: 70,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3416:  ""Update this logger to use PdfMixFragment.class.""",MINOR,5min,Key: AXaPGVz38LKHpH7XnEP8 Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/PdfMixFragment.java - startLine: 44;startOffset: 62;endOffset: 85;endLine: 44,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2293:  ""Replace the type specification in this constructor call with the diamond operator (<>).""",MINOR,1min,Key: AXaPGVsY8LKHpH7XnENX Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-model/src/main/java/org/sejda/model/parameter/ExtractPagesParameters.java - startLine: 112;startOffset: 44;endOffset: 53;endLine: 112,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2293:  ""Replace the type specification in this constructor call with the diamond operator (<>).""",MINOR,1min,Key: AXaPGVsY8LKHpH7XnENY Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-model/src/main/java/org/sejda/model/parameter/ExtractPagesParameters.java - startLine: 125;startOffset: 52;endOffset: 61;endLine: 125,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1602:  ""Remove useless curly braces around statement and then remove useless return keyword""",MINOR,5min,Key: AXaPGVy_8LKHpH7XnEPM Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/split/SizePdfSplitter.java - startLine: 113;startOffset: 42;endOffset: 43;endLine: 113,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1450:  ""Remove the outputWriter field and declare it as a local variable in the relevant methods.""",MINOR,5min,Key: AXaPGVzD8LKHpH7XnEPN Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/split/PageDestinationsLevelPdfExtractor.java - startLine: 51;startOffset: 33;endOffset: 45;endLine: 51,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1612:  ""Replace this lambda with a method reference.""",MINOR,2min,Key: AXaPGVyw8LKHpH7XnEO_ Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/optimization/ResourceDictionaryCleaner.java - startLine: 97;startOffset: 102;endOffset: 104;endLine: 97,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1612:  ""Replace this lambda with method reference 'COSDictionary.class::cast'.""",MINOR,2min,Key: AXaPGVyy8LKHpH7XnEPB Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/optimization/OptimizationRuler.java - startLine: 84;startOffset: 63;endOffset: 65;endLine: 84,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1602:  ""Remove useless curly braces around statement and then remove useless return keyword""",MINOR,5min,Key: AXaPGVyy8LKHpH7XnEPC Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/optimization/OptimizationRuler.java - startLine: 116;startOffset: 54;endOffset: 55;endLine: 116,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1612:  ""Replace this lambda with method reference 'COSStream.class::cast'.""",MINOR,2min,Key: AXaPGVyt8LKHpH7XnEO9 Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/optimization/ResourcesHitter.java - startLine: 163;startOffset: 75;endOffset: 77;endLine: 163,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1612:  ""Replace this lambda with a method reference.""",MINOR,2min,Key: AXaPGVyt8LKHpH7XnEO8 Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/optimization/ResourcesHitter.java - startLine: 160;startOffset: 51;endOffset: 53;endLine: 160,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1450:  ""Remove the footerWriter field and declare it as a local variable in the relevant methods.""",MINOR,5min,Key: AXaPGV0h8LKHpH7XnEQy Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/MergeTask.java - startLine: 83;startOffset: 33;endOffset: 45;endLine: 83,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1135:  ""Complete the task associated to this TODO comment.""",INFO,,Key: AXaPGVzm8LKHpH7XnEPq Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/PageTextWriter.java - startLine: 59;startOffset: 0;endOffset: 37;endLine: 59,Maintenance (Code Smells)
To-Do,New,Normal,"java:S5411:  ""Use the primitive boolean expression here.""",MINOR,5min,Key: AXaPGV0Y8LKHpH7XnEQv Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/ExtractPagesTask.java - startLine: 98;startOffset: 20;endOffset: 79;endLine: 99,Maintenance (Code Smells)
To-Do,New,Normal,"java:S4276:  ""Refactor this code to use the more specialised Functional Interface 'Predicate<PDDocument>'""",MINOR,5min,Key: AXaPGVyy8LKHpH7XnEPA Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/optimization/OptimizationRuler.java - startLine: 44;startOffset: 13;endOffset: 30;endLine: 44,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1640:  ""Convert this Map to an EnumMap.""",MINOR,5min,Key: AXaPGV0K8LKHpH7XnEQj Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/util/TransitionUtils.java - startLine: 46;startOffset: 75;endOffset: 90;endLine: 46,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1640:  ""Convert this Map to an EnumMap.""",MINOR,5min,Key: AXaPGVz-8LKHpH7XnEQB Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/util/PageLabelUtils.java - startLine: 49;startOffset: 63;endOffset: 78;endLine: 49,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1612:  ""Replace this lambda with a method reference.""",MINOR,2min,Key: AXaPGV0T8LKHpH7XnEQq Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/UnpackTask.java - startLine: 90;startOffset: 39;endOffset: 41;endLine: 90,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1612:  ""Replace this lambda with method reference 'PDAnnotationFileAttachment.class::cast'.""",MINOR,2min,Key: AXaPGV0T8LKHpH7XnEQr Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/UnpackTask.java - startLine: 94;startOffset: 31;endOffset: 33;endLine: 94,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1612:  ""Replace this lambda with method reference 'PDComplexFileSpecification.class::cast'.""",MINOR,2min,Key: AXaPGV0T8LKHpH7XnEQs Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/UnpackTask.java - startLine: 95;startOffset: 84;endOffset: 86;endLine: 95,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1612:  ""Replace this lambda with a method reference.""",MINOR,2min,Key: AXaPGV0T8LKHpH7XnEQt Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/UnpackTask.java - startLine: 96;startOffset: 35;endOffset: 37;endLine: 96,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1444:  ""Make this public static CREATOR field final""",MINOR,20min,Key: AXaPGVye8LKHpH7XnEOv Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-core/src/main/java/org/sejda/core/Sejda.java - startLine: 47;startOffset: 25;endOffset: 32;endLine: 47,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1104:  ""Make CREATOR a static final constant or non-public and provide accessors if needed.""",MINOR,10min,Key: AXaPGVye8LKHpH7XnEOw Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-core/src/main/java/org/sejda/core/Sejda.java - startLine: 47;startOffset: 25;endOffset: 32;endLine: 47,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3008:  ""Rename this field CREATOR to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,2min,Key: AXaPGVye8LKHpH7XnEOx Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-core/src/main/java/org/sejda/core/Sejda.java - startLine: 47;startOffset: 25;endOffset: 32;endLine: 47,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1104:  ""Make startPage a static final constant or non-public and provide accessors if needed.""",MINOR,10min,Key: AXaPGVt28LKHpH7XnENp Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-model/src/main/java/org/sejda/model/outline/OutlineExtractPageDestinations.java - startLine: 34;startOffset: 19;endOffset: 28;endLine: 34,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1450:  ""Remove the acroFormsMerger field and declare it as a local variable in the relevant methods.""",MINOR,5min,Key: AXaPGV0h8LKHpH7XnEQw Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/MergeTask.java - startLine: 81;startOffset: 28;endOffset: 43;endLine: 81,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1612:  ""Replace this lambda with a method reference.""",MINOR,2min,Key: AXaPGVz78LKHpH7XnEP9 Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/OutlineDistiller.java - startLine: 68;startOffset: 62;endOffset: 64;endLine: 68,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1612:  ""Replace this lambda with a method reference.""",MINOR,2min,Key: AXaPGVz78LKHpH7XnEP- Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/OutlineDistiller.java - startLine: 82;startOffset: 74;endOffset: 76;endLine: 82,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1602:  ""Remove useless curly braces around statement""",MINOR,5min,Key: AXaPGVz78LKHpH7XnEP_ Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/OutlineDistiller.java - startLine: 82;startOffset: 77;endOffset: 78;endLine: 82,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1135:  ""Complete the task associated to this TODO comment.""",INFO,,Key: AXaPGVyp8LKHpH7XnEO1 Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/PDDocumentHandler.java - startLine: 359;startOffset: 0;endOffset: 32;endLine: 359,Maintenance (Code Smells)
